pruid	prname	prnameFR	date	numconf	numprob	numdeaths	numtotal	numtested	numrecover	percentrecover	ratetested	numtoday	percentoday	ratetotal	ratedeaths	deathstoday	percentdeath	testedtoday	recoveredtoday	percentactive
48	Alberta	Alberta	2/4/2020	968	0	13	968	57096	174	17.98	13062	214	28.38	22.14	0.297	4	1.34	3955	32	80.68
47	Saskatchewan	Saskatchewan	2/4/2020	206	0	3	206	11034	36	17.48	9395	13	6.74	17.54	0.255	0	1.46	832	6	81.07
46	Manitoba	Manitoba	2/4/2020	152	15	1	167	11098	11	6.59	8104	40	31.5	12.19	0.073	0	0.6	1287	7	92.81
35	Ontario	Ontario	2/4/2020	2793	0	53	2793	64785	831	29.75	4448	401	16.76	19.17	0.364	16	1.9	3776	142	68.35
24	Quebec	Qu??bec	2/4/2020	5518	0	36	5518	74542	224	4.06	8785	907	19.67	65.03	0.424	3	0.65	4831	195	95.29
10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	2/4/2020	183	0	1	183	2904	10	5.46	5568	8	4.57	35.09	0.192	0	0.55	142	0	93.99
13	New Brunswick	Nouveau-Brunswick	2/4/2020	91	0	0	91	4625	22	24.18	5954	10	12.35	11.71	0	0	0	504	8	75.82
12	Nova Scotia	Nouvelle-??cosse	2/4/2020	193	0	0	193	8059	16	8.29	8296	20	11.56	19.87	0	0	0	654	5	91.71
11	Prince Edward Island	??le-du-Prince-??douard	2/4/2020	22	0	0	22	653	3	13.64	4161	1	4.76	14.02	0	0	0	102	0	86.36
60	Yukon	Yukon	2/4/2020	6	0	0	6	742	3	50	18162	1	20	14.69	0	0	0	20	0	50
61	Northwest Territories	Territoires du Nord-Ouest	2/4/2020	2	0	0	2	969			21617	0	0	4.46	0	0	0	18		100
62	Nunavut	Nunavut	2/4/2020	0	0	0	0	193			4977	0	0	0	0	0		10		
99	Repatriated travellers	Voyageurs rapatri??s	2/4/2020	13	0	0	13	76	12	92.31		0	0			0	0	0	0	7.69
