"Date","Cases by episode date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","1"
"2,020-01-22","1"
"2,020-01-23","0"
"2,020-01-24","1"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","2"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","1"
"2,020-02-06","0"
"2,020-02-07","1"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","2"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","2"
"2,020-02-15","1"
"2,020-02-16","1"
"2,020-02-17","1"
"2,020-02-18","0"
"2,020-02-19","1"
"2,020-02-20","4"
"2,020-02-21","1"
"2,020-02-22","4"
"2,020-02-23","4"
"2,020-02-24","4"
"2,020-02-25","3"
"2,020-02-26","2"
"2,020-02-27","1"
"2,020-02-28","6"
"2,020-02-29","5"
"2,020-03-01","20"
"2,020-03-02","15"
"2,020-03-03","14"
"2,020-03-04","11"
"2,020-03-05","25"
"2,020-03-06","31"
"2,020-03-07","32"
"2,020-03-08","52"
"2,020-03-09","66"
"2,020-03-10","99"
"2,020-03-11","103"
"2,020-03-12","124"
"2,020-03-13","151"
"2,020-03-14","141"
"2,020-03-15","183"
"2,020-03-16","261"
"2,020-03-17","258"
"2,020-03-18","269"
"2,020-03-19","262"
"2,020-03-20","330"
"2,020-03-21","267"
"2,020-03-22","258"
"2,020-03-23","320"
"2,020-03-24","257"
"2,020-03-25","295"
"2,020-03-26","276"
"2,020-03-27","316"
"2,020-03-28","302"
"2,020-03-29","273"
"2,020-03-30","369"
"2,020-03-31","322"
"2,020-04-01","481"
"2,020-04-02","368"
"2,020-04-03","450"
"2,020-04-04","388"
"2,020-04-05","379"
"2,020-04-06","460"
"2,020-04-07","441"
"2,020-04-08","434"
"2,020-04-09","453"
"2,020-04-10","523"
"2,020-04-11","558"
"2,020-04-12","491"
"2,020-04-13","675"
"2,020-04-14","612"
"2,020-04-15","670"
"2,020-04-16","618"
"2,020-04-17","669"
"2,020-04-18","582"
"2,020-04-19","386"
"2,020-04-20","558"
"2,020-04-21","445"
"2,020-04-22","473"
"2,020-04-23","447"
"2,020-04-24","420"
"2,020-04-25","428"
"2,020-04-26","346"
"2,020-04-27","487"
"2,020-04-28","405"
"2,020-04-29","386"
"2,020-04-30","405"
"2,020-05-01","444"
"2,020-05-02","327"
"2,020-05-03","263"
"2,020-05-04","314"
"2,020-05-05","340"
"2,020-05-06","261"
"2,020-05-07","338"
"2,020-05-08","359"
"2,020-05-09","283"
"2,020-05-10","269"
"2,020-05-11","383"
"2,020-05-12","345"
"2,020-05-13","305"
"2,020-05-14","355"
"2,020-05-15","469"
"2,020-05-16","332"
"2,020-05-17","313"
"2,020-05-18","362"
"2,020-05-19","389"
"2,020-05-20","381"
"2,020-05-21","353"
"2,020-05-22","272"
"2,020-05-23","282"
"2,020-05-24","267"
"2,020-05-25","354"
"2,020-05-26","327"
"2,020-05-27","287"
"2,020-05-28","244"
"2,020-05-29","358"
"2,020-05-30","270"
"2,020-05-31","199"
"2,020-06-01","344"
"2,020-06-02","233"
"2,020-06-03","212"
"2,020-06-04","221"
"2,020-06-05","233"
"2,020-06-06","193"
"2,020-06-07","152"
"2,020-06-08","217"
"2,020-06-09","158"
"2,020-06-10","197"
"2,020-06-11","170"
"2,020-06-12","168"
"2,020-06-13","98"
"2,020-06-14","90"
"2,020-06-15","136"
"2,020-06-16","114"
"2,020-06-17","84"
"2,020-06-18","33"
"2,020-06-19","10"
