"Date","Deaths"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","0"
"2,020-02-28","0"
"2,020-02-29","0"
"2,020-03-01","0"
"2,020-03-02","1"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","0"
"2,020-03-07","0"
"2,020-03-08","0"
"2,020-03-09","0"
"2,020-03-10","0"
"2,020-03-11","1"
"2,020-03-12","0"
"2,020-03-13","0"
"2,020-03-14","0"
"2,020-03-15","0"
"2,020-03-16","0"
"2,020-03-17","0"
"2,020-03-18","1"
"2,020-03-19","0"
"2,020-03-20","0"
"2,020-03-21","1"
"2,020-03-22","2"
"2,020-03-23","2"
"2,020-03-24","5"
"2,020-03-25","4"
"2,020-03-26","3"
"2,020-03-27","4"
"2,020-03-28","8"
"2,020-03-29","14"
"2,020-03-30","18"
"2,020-03-31","15"
"2,020-04-01","16"
"2,020-04-02","25"
"2,020-04-03","23"
"2,020-04-04","28"
"2,020-04-05","31"
"2,020-04-06","30"
"2,020-04-07","33"
"2,020-04-08","37"
"2,020-04-09","42"
"2,020-04-10","33"
"2,020-04-11","41"
"2,020-04-12","45"
"2,020-04-13","49"
"2,020-04-14","41"
"2,020-04-15","57"
"2,020-04-16","53"
"2,020-04-17","52"
"2,020-04-18","50"
"2,020-04-19","80"
"2,020-04-20","54"
"2,020-04-21","58"
"2,020-04-22","65"
"2,020-04-23","53"
"2,020-04-24","57"
"2,020-04-25","59"
"2,020-04-26","59"
"2,020-04-27","63"
"2,020-04-28","48"
"2,020-04-29","61"
"2,020-04-30","59"
"2,020-05-01","59"
"2,020-05-02","54"
"2,020-05-03","66"
"2,020-05-04","48"
"2,020-05-05","36"
"2,020-05-06","40"
"2,020-05-07","42"
"2,020-05-08","37"
"2,020-05-09","35"
"2,020-05-10","38"
"2,020-05-11","36"
"2,020-05-12","29"
"2,020-05-13","26"
"2,020-05-14","24"
"2,020-05-15","28"
"2,020-05-16","25"
"2,020-05-17","18"
"2,020-05-18","24"
"2,020-05-19","27"
"2,020-05-20","21"
"2,020-05-21","25"
"2,020-05-22","19"
"2,020-05-23","26"
"2,020-05-24","23"
"2,020-05-25","24"
"2,020-05-26","39"
"2,020-05-27","26"
"2,020-05-28","19"
"2,020-05-29","21"
"2,020-05-30","19"
"2,020-05-31","10"
"2,020-06-01","12"
"2,020-06-02","8"
"2,020-06-03","14"
"2,020-06-04","16"
"2,020-06-05","19"
"2,020-06-06","8"
"2,020-06-07","7"
"2,020-06-08","5"
"2,020-06-09","12"
"2,020-06-10","4"
"2,020-06-11","9"
"2,020-06-12","5"
"2,020-06-13","9"
"2,020-06-14","7"
"2,020-06-15","4"
"2,020-06-16","4"
"2,020-06-17","2"
"2,020-06-18","1"
"2,020-06-19","2"
