"Date","Cases by episode date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","1"
"2,020-01-22","1"
"2,020-01-23","0"
"2,020-01-24","1"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","2"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","1"
"2,020-02-06","0"
"2,020-02-07","1"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","2"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","2"
"2,020-02-15","1"
"2,020-02-16","1"
"2,020-02-17","1"
"2,020-02-18","0"
"2,020-02-19","1"
"2,020-02-20","4"
"2,020-02-21","1"
"2,020-02-22","4"
"2,020-02-23","4"
"2,020-02-24","4"
"2,020-02-25","3"
"2,020-02-26","2"
"2,020-02-27","2"
"2,020-02-28","6"
"2,020-02-29","5"
"2,020-03-01","20"
"2,020-03-02","15"
"2,020-03-03","14"
"2,020-03-04","11"
"2,020-03-05","25"
"2,020-03-06","31"
"2,020-03-07","32"
"2,020-03-08","51"
"2,020-03-09","66"
"2,020-03-10","99"
"2,020-03-11","102"
"2,020-03-12","124"
"2,020-03-13","150"
"2,020-03-14","141"
"2,020-03-15","183"
"2,020-03-16","258"
"2,020-03-17","256"
"2,020-03-18","267"
"2,020-03-19","263"
"2,020-03-20","330"
"2,020-03-21","269"
"2,020-03-22","258"
"2,020-03-23","320"
"2,020-03-24","254"
"2,020-03-25","293"
"2,020-03-26","273"
"2,020-03-27","318"
"2,020-03-28","303"
"2,020-03-29","271"
"2,020-03-30","366"
"2,020-03-31","323"
"2,020-04-01","477"
"2,020-04-02","365"
"2,020-04-03","448"
"2,020-04-04","390"
"2,020-04-05","382"
"2,020-04-06","458"
"2,020-04-07","436"
"2,020-04-08","430"
"2,020-04-09","455"
"2,020-04-10","521"
"2,020-04-11","553"
"2,020-04-12","486"
"2,020-04-13","670"
"2,020-04-14","611"
"2,020-04-15","676"
"2,020-04-16","632"
"2,020-04-17","660"
"2,020-04-18","573"
"2,020-04-19","377"
"2,020-04-20","557"
"2,020-04-21","447"
"2,020-04-22","469"
"2,020-04-23","437"
"2,020-04-24","413"
"2,020-04-25","419"
"2,020-04-26","341"
"2,020-04-27","507"
"2,020-04-28","431"
"2,020-04-29","382"
"2,020-04-30","408"
"2,020-05-01","430"
"2,020-05-02","327"
"2,020-05-03","270"
"2,020-05-04","328"
"2,020-05-05","350"
"2,020-05-06","268"
"2,020-05-07","338"
"2,020-05-08","362"
"2,020-05-09","286"
"2,020-05-10","269"
"2,020-05-11","377"
"2,020-05-12","342"
"2,020-05-13","305"
"2,020-05-14","357"
"2,020-05-15","472"
"2,020-05-16","330"
"2,020-05-17","314"
"2,020-05-18","359"
"2,020-05-19","388"
"2,020-05-20","382"
"2,020-05-21","352"
"2,020-05-22","270"
"2,020-05-23","282"
"2,020-05-24","267"
"2,020-05-25","351"
"2,020-05-26","325"
"2,020-05-27","293"
"2,020-05-28","245"
"2,020-05-29","349"
"2,020-05-30","253"
"2,020-05-31","202"
"2,020-06-01","337"
"2,020-06-02","230"
"2,020-06-03","210"
"2,020-06-04","220"
"2,020-06-05","231"
"2,020-06-06","190"
"2,020-06-07","150"
"2,020-06-08","210"
"2,020-06-09","152"
"2,020-06-10","182"
"2,020-06-11","160"
"2,020-06-12","147"
"2,020-06-13","88"
"2,020-06-14","83"
"2,020-06-15","91"
"2,020-06-16","29"
"2,020-06-17","13"
