"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","0"
"2,020-02-28","2"
"2,020-02-29","0"
"2,020-03-01","0"
"2,020-03-02","0"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","0"
"2,020-03-07","0"
"2,020-03-08","0"
"2,020-03-09","0"
"2,020-03-10","0"
"2,020-03-11","0"
"2,020-03-12","0"
"2,020-03-13","2"
"2,020-03-14","6"
"2,020-03-15","0"
"2,020-03-16","1"
"2,020-03-17","1"
"2,020-03-18","5"
"2,020-03-19","6"
"2,020-03-20","5"
"2,020-03-21","7"
"2,020-03-22","3"
"2,020-03-23","11"
"2,020-03-24","7"
"2,020-03-25","9"
"2,020-03-26","22"
"2,020-03-27","14"
"2,020-03-28","6"
"2,020-03-29","11"
"2,020-03-30","28"
"2,020-03-31","17"
"2,020-04-01","27"
"2,020-04-02","21"
"2,020-04-03","29"
"2,020-04-04","9"
"2,020-04-05","11"
"2,020-04-06","23"
"2,020-04-07","10"
"2,020-04-08","18"
"2,020-04-09","23"
"2,020-04-10","14"
"2,020-04-11","21"
"2,020-04-12","53"
"2,020-04-13","30"
"2,020-04-14","19"
"2,020-04-15","47"
"2,020-04-16","26"
"2,020-04-17","53"
"2,020-04-18","54"
"2,020-04-19","41"
"2,020-04-20","45"
"2,020-04-21","32"
"2,020-04-22","27"
"2,020-04-23","30"
"2,020-04-24","19"
"2,020-04-25","33"
"2,020-04-26","19"
"2,020-04-27","18"
"2,020-04-28","13"
"2,020-04-29","38"
"2,020-04-30","27"
"2,020-05-01","29"
"2,020-05-02","21"
"2,020-05-03","28"
"2,020-05-04","9"
"2,020-05-05","27"
"2,020-05-06","22"
"2,020-05-07","6"
"2,020-05-08","14"
"2,020-05-09","12"
"2,020-05-10","5"
"2,020-05-11","9"
"2,020-05-12","19"
"2,020-05-13","7"
"2,020-05-14","10"
"2,020-05-15","17"
"2,020-05-16","19"
"2,020-05-17","24"
"2,020-05-18","15"
"2,020-05-19","12"
"2,020-05-20","22"
"2,020-05-21","6"
"2,020-05-22","16"
"2,020-05-23","17"
"2,020-05-24","23"
"2,020-05-25","19"
"2,020-05-26","6"
"2,020-05-27","20"
"2,020-05-28","13"
"2,020-05-29","13"
"2,020-05-30","13"
"2,020-05-31","13"
"2,020-06-01","14"
"2,020-06-02","10"
"2,020-06-03","17"
"2,020-06-04","39"
"2,020-06-05","4"
"2,020-06-06","12"
"2,020-06-07","9"
"2,020-06-08","16"
"2,020-06-09","10"
"2,020-06-10","8"
"2,020-06-11","5"
"2,020-06-12","4"
"2,020-06-13","10"
"2,020-06-14","5"
"2,020-06-15","3"
"2,020-06-16","2"
"2,020-06-17","0"
