"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","1"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","0"
"2,020-02-28","0"
"2,020-02-29","0"
"2,020-03-01","0"
"2,020-03-02","0"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","0"
"2,020-03-07","0"
"2,020-03-08","0"
"2,020-03-09","0"
"2,020-03-10","0"
"2,020-03-11","0"
"2,020-03-12","1"
"2,020-03-13","0"
"2,020-03-14","0"
"2,020-03-15","0"
"2,020-03-16","2"
"2,020-03-17","1"
"2,020-03-18","0"
"2,020-03-19","4"
"2,020-03-20","3"
"2,020-03-21","0"
"2,020-03-22","4"
"2,020-03-23","1"
"2,020-03-24","4"
"2,020-03-25","2"
"2,020-03-26","2"
"2,020-03-27","1"
"2,020-03-28","9"
"2,020-03-29","5"
"2,020-03-30","14"
"2,020-03-31","13"
"2,020-04-01","12"
"2,020-04-02","13"
"2,020-04-03","22"
"2,020-04-04","20"
"2,020-04-05","2"
"2,020-04-06","15"
"2,020-04-07","9"
"2,020-04-08","8"
"2,020-04-09","13"
"2,020-04-10","14"
"2,020-04-11","18"
"2,020-04-12","20"
"2,020-04-13","13"
"2,020-04-14","3"
"2,020-04-15","8"
"2,020-04-16","24"
"2,020-04-17","7"
"2,020-04-18","17"
"2,020-04-19","17"
"2,020-04-20","11"
"2,020-04-21","9"
"2,020-04-22","4"
"2,020-04-23","10"
"2,020-04-24","7"
"2,020-04-25","8"
"2,020-04-26","2"
"2,020-04-27","10"
"2,020-04-28","9"
"2,020-04-29","9"
"2,020-04-30","7"
"2,020-05-01","4"
"2,020-05-02","3"
"2,020-05-03","7"
"2,020-05-04","1"
"2,020-05-05","7"
"2,020-05-06","5"
"2,020-05-07","2"
"2,020-05-08","0"
"2,020-05-09","5"
"2,020-05-10","13"
"2,020-05-11","2"
"2,020-05-12","3"
"2,020-05-13","2"
"2,020-05-14","3"
"2,020-05-15","2"
"2,020-05-16","4"
"2,020-05-17","2"
"2,020-05-18","9"
"2,020-05-19","3"
"2,020-05-20","6"
"2,020-05-21","0"
"2,020-05-22","4"
"2,020-05-23","5"
"2,020-05-24","1"
"2,020-05-25","4"
"2,020-05-26","4"
"2,020-05-27","3"
"2,020-05-28","8"
"2,020-05-29","11"
"2,020-05-30","5"
"2,020-05-31","3"
"2,020-06-01","2"
"2,020-06-02","5"
"2,020-06-03","2"
"2,020-06-04","1"
"2,020-06-05","4"
"2,020-06-06","0"
"2,020-06-07","5"
"2,020-06-08","1"
"2,020-06-09","8"
"2,020-06-10","1"
"2,020-06-11","4"
"2,020-06-12","4"
"2,020-06-13","3"
"2,020-06-14","6"
"2,020-06-15","5"
"2,020-06-16","5"
"2,020-06-17","0"
