"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","0"
"2,020-02-28","0"
"2,020-02-29","0"
"2,020-03-01","0"
"2,020-03-02","0"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","0"
"2,020-03-07","0"
"2,020-03-08","1"
"2,020-03-09","1"
"2,020-03-10","0"
"2,020-03-11","1"
"2,020-03-12","3"
"2,020-03-13","1"
"2,020-03-14","3"
"2,020-03-15","4"
"2,020-03-16","0"
"2,020-03-17","6"
"2,020-03-18","6"
"2,020-03-19","1"
"2,020-03-20","3"
"2,020-03-21","5"
"2,020-03-22","7"
"2,020-03-23","10"
"2,020-03-24","8"
"2,020-03-25","8"
"2,020-03-26","19"
"2,020-03-27","26"
"2,020-03-28","25"
"2,020-03-29","9"
"2,020-03-30","45"
"2,020-03-31","52"
"2,020-04-01","35"
"2,020-04-02","32"
"2,020-04-03","27"
"2,020-04-04","20"
"2,020-04-05","41"
"2,020-04-06","39"
"2,020-04-07","25"
"2,020-04-08","25"
"2,020-04-09","25"
"2,020-04-10","36"
"2,020-04-11","31"
"2,020-04-12","35"
"2,020-04-13","16"
"2,020-04-14","32"
"2,020-04-15","60"
"2,020-04-16","24"
"2,020-04-17","72"
"2,020-04-18","32"
"2,020-04-19","36"
"2,020-04-20","17"
"2,020-04-21","51"
"2,020-04-22","35"
"2,020-04-23","49"
"2,020-04-24","38"
"2,020-04-25","53"
"2,020-04-26","86"
"2,020-04-27","86"
"2,020-04-28","66"
"2,020-04-29","28"
"2,020-04-30","30"
"2,020-05-01","41"
"2,020-05-02","23"
"2,020-05-03","23"
"2,020-05-04","14"
"2,020-05-05","29"
"2,020-05-06","22"
"2,020-05-07","32"
"2,020-05-08","18"
"2,020-05-09","12"
"2,020-05-10","25"
"2,020-05-11","14"
"2,020-05-12","13"
"2,020-05-13","21"
"2,020-05-14","25"
"2,020-05-15","17"
"2,020-05-16","19"
"2,020-05-17","14"
"2,020-05-18","26"
"2,020-05-19","23"
"2,020-05-20","16"
"2,020-05-21","11"
"2,020-05-22","6"
"2,020-05-23","6"
"2,020-05-24","8"
"2,020-05-25","6"
"2,020-05-26","16"
"2,020-05-27","8"
"2,020-05-28","4"
"2,020-05-29","7"
"2,020-05-30","15"
"2,020-05-31","10"
"2,020-06-01","5"
"2,020-06-02","8"
"2,020-06-03","8"
"2,020-06-04","8"
"2,020-06-05","15"
"2,020-06-06","2"
"2,020-06-07","4"
"2,020-06-08","0"
"2,020-06-09","3"
"2,020-06-10","7"
"2,020-06-11","5"
"2,020-06-12","11"
"2,020-06-13","6"
"2,020-06-14","1"
"2,020-06-15","2"
"2,020-06-16","4"
"2,020-06-17","4"
