"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","2"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","1"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","1"
"2,020-02-26","1"
"2,020-02-27","1"
"2,020-02-28","1"
"2,020-02-29","1"
"2,020-03-01","2"
"2,020-03-02","0"
"2,020-03-03","1"
"2,020-03-04","1"
"2,020-03-05","2"
"2,020-03-06","2"
"2,020-03-07","2"
"2,020-03-08","4"
"2,020-03-09","3"
"2,020-03-10","4"
"2,020-03-11","10"
"2,020-03-12","24"
"2,020-03-13","13"
"2,020-03-14","7"
"2,020-03-15","15"
"2,020-03-16","19"
"2,020-03-17","17"
"2,020-03-18","28"
"2,020-03-19","35"
"2,020-03-20","38"
"2,020-03-21","14"
"2,020-03-22","34"
"2,020-03-23","42"
"2,020-03-24","39"
"2,020-03-25","34"
"2,020-03-26","106"
"2,020-03-27","100"
"2,020-03-28","37"
"2,020-03-29","36"
"2,020-03-30","72"
"2,020-03-31","83"
"2,020-04-01","92"
"2,020-04-02","109"
"2,020-04-03","114"
"2,020-04-04","116"
"2,020-04-05","67"
"2,020-04-06","119"
"2,020-04-07","188"
"2,020-04-08","150"
"2,020-04-09","164"
"2,020-04-10","124"
"2,020-04-11","123"
"2,020-04-12","163"
"2,020-04-13","248"
"2,020-04-14","206"
"2,020-04-15","211"
"2,020-04-16","289"
"2,020-04-17","356"
"2,020-04-18","162"
"2,020-04-19","164"
"2,020-04-20","292"
"2,020-04-21","201"
"2,020-04-22","207"
"2,020-04-23","190"
"2,020-04-24","172"
"2,020-04-25","125"
"2,020-04-26","101"
"2,020-04-27","154"
"2,020-04-28","154"
"2,020-04-29","153"
"2,020-04-30","193"
"2,020-05-01","173"
"2,020-05-02","149"
"2,020-05-03","144"
"2,020-05-04","147"
"2,020-05-05","151"
"2,020-05-06","153"
"2,020-05-07","113"
"2,020-05-08","140"
"2,020-05-09","121"
"2,020-05-10","150"
"2,020-05-11","90"
"2,020-05-12","90"
"2,020-05-13","156"
"2,020-05-14","119"
"2,020-05-15","128"
"2,020-05-16","180"
"2,020-05-17","177"
"2,020-05-18","168"
"2,020-05-19","174"
"2,020-05-20","191"
"2,020-05-21","145"
"2,020-05-22","129"
"2,020-05-23","164"
"2,020-05-24","124"
"2,020-05-25","161"
"2,020-05-26","112"
"2,020-05-27","148"
"2,020-05-28","161"
"2,020-05-29","441"
"2,020-05-30","181"
"2,020-05-31","115"
"2,020-06-01","153"
"2,020-06-02","157"
"2,020-06-03","173"
"2,020-06-04","123"
"2,020-06-05","117"
"2,020-06-06","127"
"2,020-06-07","88"
"2,020-06-08","84"
"2,020-06-09","78"
"2,020-06-10","119"
"2,020-06-11","78"
"2,020-06-12","77"
"2,020-06-13","89"
"2,020-06-14","64"
"2,020-06-15","66"
"2,020-06-16","77"
"2,020-06-17","45"
