"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","0"
"2,020-02-28","0"
"2,020-02-29","0"
"2,020-03-01","0"
"2,020-03-02","0"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","0"
"2,020-03-07","0"
"2,020-03-08","0"
"2,020-03-09","0"
"2,020-03-10","0"
"2,020-03-11","0"
"2,020-03-12","0"
"2,020-03-13","0"
"2,020-03-14","0"
"2,020-03-15","0"
"2,020-03-16","1"
"2,020-03-17","2"
"2,020-03-18","3"
"2,020-03-19","2"
"2,020-03-20","0"
"2,020-03-21","7"
"2,020-03-22","0"
"2,020-03-23","3"
"2,020-03-24","17"
"2,020-03-25","12"
"2,020-03-26","2"
"2,020-03-27","0"
"2,020-03-28","1"
"2,020-03-29","3"
"2,020-03-30","15"
"2,020-03-31","24"
"2,020-04-01","25"
"2,020-04-02","18"
"2,020-04-03","22"
"2,020-04-04","17"
"2,020-04-05","15"
"2,020-04-06","33"
"2,020-04-07","20"
"2,020-04-08","13"
"2,020-04-09","30"
"2,020-04-10","9"
"2,020-04-11","16"
"2,020-04-12","3"
"2,020-04-13","21"
"2,020-04-14","42"
"2,020-04-15","54"
"2,020-04-16","8"
"2,020-04-17","14"
"2,020-04-18","8"
"2,020-04-19","20"
"2,020-04-20","23"
"2,020-04-21","11"
"2,020-04-22","7"
"2,020-04-23","15"
"2,020-04-24","9"
"2,020-04-25","7"
"2,020-04-26","12"
"2,020-04-27","12"
"2,020-04-28","5"
"2,020-04-29","9"
"2,020-04-30","10"
"2,020-05-01","9"
"2,020-05-02","8"
"2,020-05-03","18"
"2,020-05-04","16"
"2,020-05-05","9"
"2,020-05-06","8"
"2,020-05-07","11"
"2,020-05-08","8"
"2,020-05-09","12"
"2,020-05-10","21"
"2,020-05-11","5"
"2,020-05-12","13"
"2,020-05-13","6"
"2,020-05-14","11"
"2,020-05-15","5"
"2,020-05-16","7"
"2,020-05-17","10"
"2,020-05-18","11"
"2,020-05-19","11"
"2,020-05-20","21"
"2,020-05-21","16"
"2,020-05-22","22"
"2,020-05-23","10"
"2,020-05-24","36"
"2,020-05-25","4"
"2,020-05-26","4"
"2,020-05-27","7"
"2,020-05-28","24"
"2,020-05-29","6"
"2,020-05-30","11"
"2,020-05-31","2"
"2,020-06-01","7"
"2,020-06-02","5"
"2,020-06-03","13"
"2,020-06-04","3"
"2,020-06-05","10"
"2,020-06-06","5"
"2,020-06-07","9"
"2,020-06-08","43"
"2,020-06-09","38"
"2,020-06-10","15"
"2,020-06-11","14"
"2,020-06-12","46"
"2,020-06-13","12"
"2,020-06-14","7"
"2,020-06-15","26"
"2,020-06-16","14"
"2,020-06-17","6"
