"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","0"
"2,020-01-24","0"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","0"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","0"
"2,020-02-26","0"
"2,020-02-27","1"
"2,020-02-28","2"
"2,020-02-29","3"
"2,020-03-01","0"
"2,020-03-02","0"
"2,020-03-03","0"
"2,020-03-04","0"
"2,020-03-05","0"
"2,020-03-06","1"
"2,020-03-07","1"
"2,020-03-08","0"
"2,020-03-09","1"
"2,020-03-10","1"
"2,020-03-11","1"
"2,020-03-12","2"
"2,020-03-13","0"
"2,020-03-14","5"
"2,020-03-15","4"
"2,020-03-16","11"
"2,020-03-17","2"
"2,020-03-18","6"
"2,020-03-19","10"
"2,020-03-20","23"
"2,020-03-21","10"
"2,020-03-22","10"
"2,020-03-23","27"
"2,020-03-24","40"
"2,020-03-25","21"
"2,020-03-26","23"
"2,020-03-27","31"
"2,020-03-28","17"
"2,020-03-29","15"
"2,020-03-30","65"
"2,020-03-31","42"
"2,020-04-01","46"
"2,020-04-02","37"
"2,020-04-03","40"
"2,020-04-04","27"
"2,020-04-05","30"
"2,020-04-06","24"
"2,020-04-07","42"
"2,020-04-08","44"
"2,020-04-09","51"
"2,020-04-10","28"
"2,020-04-11","50"
"2,020-04-12","43"
"2,020-04-13","61"
"2,020-04-14","76"
"2,020-04-15","56"
"2,020-04-16","54"
"2,020-04-17","47"
"2,020-04-18","49"
"2,020-04-19","47"
"2,020-04-20","69"
"2,020-04-21","52"
"2,020-04-22","54"
"2,020-04-23","54"
"2,020-04-24","35"
"2,020-04-25","20"
"2,020-04-26","15"
"2,020-04-27","49"
"2,020-04-28","25"
"2,020-04-29","39"
"2,020-04-30","24"
"2,020-05-01","42"
"2,020-05-02","11"
"2,020-05-03","8"
"2,020-05-04","18"
"2,020-05-05","34"
"2,020-05-06","26"
"2,020-05-07","17"
"2,020-05-08","22"
"2,020-05-09","26"
"2,020-05-10","20"
"2,020-05-11","13"
"2,020-05-12","18"
"2,020-05-13","29"
"2,020-05-14","18"
"2,020-05-15","27"
"2,020-05-16","19"
"2,020-05-17","24"
"2,020-05-18","28"
"2,020-05-19","28"
"2,020-05-20","45"
"2,020-05-21","30"
"2,020-05-22","46"
"2,020-05-23","23"
"2,020-05-24","35"
"2,020-05-25","32"
"2,020-05-26","46"
"2,020-05-27","19"
"2,020-05-28","16"
"2,020-05-29","19"
"2,020-05-30","26"
"2,020-05-31","26"
"2,020-06-01","53"
"2,020-06-02","31"
"2,020-06-03","40"
"2,020-06-04","18"
"2,020-06-05","21"
"2,020-06-06","11"
"2,020-06-07","17"
"2,020-06-08","18"
"2,020-06-09","16"
"2,020-06-10","12"
"2,020-06-11","21"
"2,020-06-12","23"
"2,020-06-13","8"
"2,020-06-14","5"
"2,020-06-15","15"
"2,020-06-16","9"
"2,020-06-17","11"
